Rk,Player,Pos,Squad,Federation,Gls,Sh,G/Sh
374,Erling Haaland,FW,no Norway,UEFA,7,20,0.35
553,Ermin Mahmić,MF,ba Bosnia–Herz,UEFA,2,4,0.5
480,Nikola Katić,DF,ba Bosnia–Herz,UEFA,0,2,0
1002,Nico Williams,MF,es Spain,UEFA,0,4,0
36,Kerem Aktürkoğlu,FW,tr Türkiye,UEFA,0,3,0
55,Julián Álvarez,FW,ar Argentina,CONMEBOL,1,11,0.09
50,Miguel Almirón,MFFW,py Paraguay,CONMEBOL,0,4,0
400,Kai Havertz,FW,de Germany,UEFA,3,12,0.25
927,Aurélien Tchouaméni,MF,fr France,UEFA,0,3,0
206,Jhon Córdoba,FW,co Colombia,CONMEBOL,0,2,0
216,Pau Cubarsí,DF,es Spain,UEFA,0,4,0
783,Fabian Rieder,MFFW,ch Switzerland,UEFA,0,7,0
888,Djed Spence,DF,eng England,UEFA,0,2,0
818,Bukayo Saka,MF,eng England,UEFA,3,13,0.23
123,Jude Bellingham,MF,eng England,UEFA,7,19,0.37
719,Aleksandar Pavlovic,MF,de Germany,UEFA,0,4,0
1005,Florian Wirtz,MF,de Germany,UEFA,0,10,0
410,Theo Hernández,DF,fr France,UEFA,0,3,0
631,Gonzalo Montiel,DF,ar Argentina,CONMEBOL,0,1,0
173,Jaminton Campaz,FWMF,co Colombia,CONMEBOL,1,6,0.17
349,Anthony Gordon,MF,eng England,UEFA,1,6,0.17
345,Diego Gómez,MF,py Paraguay,CONMEBOL,0,6,0
223,Diogo Dalot,DFMF,pt Portugal,UEFA,0,1,0
965,Federico Valverde,MF,uy Uruguay,CONMEBOL,0,10,0
346,Gustavo Gómez,DF,py Paraguay,CONMEBOL,0,2,0
841,Xaver Schlager,MF,at Austria,UEFA,0,1,0
678,Benjamin Nygren,MF,se Sweden,UEFA,0,1,0
648,Petar Musa,FW,hr Croatia,UEFA,1,1,1
473,Harry Kane,FW,eng England,UEFA,6,23,0.26
566,Johan Manzambi,MFFW,ch Switzerland,UEFA,3,6,0.5
918,Jonathan Tah,DF,de Germany,UEFA,0,1,0
801,Cristiano Ronaldo,FW,pt Portugal,UEFA,3,18,0.17
560,Donyell Malen,FW,nl Netherlands,UEFA,0,4,0
755,Juan Quintero,FWMF,co Colombia,CONMEBOL,0,4,0
806,Fabián Ruiz Peña,MF,es Spain,UEFA,1,8,0.13
825,Davinson Sánchez,DF,co Colombia,CONMEBOL,0,6,0
224,Danilo,DF,br Brazil,CONMEBOL,0,1,0
