No,Player,Country,Confederation,Pos,Pos_main,90s,TklW,TklW_90
1,Kristoffer Ajer,Norway,UEFA,DF,DF,5.3,8,1.509
2,Manuel Akanji,Switzerland,UEFA,DF,DF,6.7,9,1.343
3,David Alaba,Austria,UEFA,DF,DF,3.1,1,0.323
4,Kerim Alajbegović,Bosnia–Herz,UEFA,MF,MF,3.1,0,0.0
5,Omar Alderete,Paraguay,CONMEBOL,DF,DF,3.6,0,0.0
6,Thiago Almada,Argentina,CONMEBOL,MF,MF,2.7,4,1.481
7,Miguel Almirón,Paraguay,CONMEBOL,MFFW,MF,3.1,7,2.258
8,Júnior Alonso,Paraguay,CONMEBOL,DF,DF,4.3,9,2.093
9,Barış Alper Yılmaz,Türkiye,UEFA,MFFW,MF,2.0,0,0.0
10,Julián Álvarez,Argentina,CONMEBOL,FW,FW,6.7,4,0.597
11,Elliot Anderson,England,UEFA,MF,MF,7.0,18,2.571
12,Nilson Angulo,Ecuador,CONMEBOL,MF,MF,2.4,1,0.417
13,Maxi Araújo,Uruguay,CONMEBOL,FWMF,FW,2.8,0,0.0
14,Jhon Arias,Colombia,CONMEBOL,MF,MF,4.2,9,2.143
15,Fredrik Aursnes,Norway,UEFA,MFDF,MF,3.4,8,2.353
16,Yasin Ayari,Sweden,UEFA,MF,MF,3.8,4,1.053
17,Álex Baena,Spain,UEFA,MFFW,MF,5.3,5,0.943
18,Esmir Bajraktarevic,Bosnia–Herz,UEFA,MF,MF,2.6,0,0.0
19,Bradley Barcola,France,UEFA,MF,MF,4.3,4,0.93
20,Abdülkerim Bardakcı,Türkiye,UEFA,DF,DF,2.9,5,1.724
21,Ivan Bašić,Bosnia–Herz,UEFA,MF,MF,2.0,1,0.5
22,Martin Baturina,Croatia,UEFA,MFFW,MF,3.6,2,0.556
23,Jude Bellingham,England,UEFA,MF,MF,6.8,10,1.471
24,Rodrigo Bentancur,Uruguay,CONMEBOL,MF,MF,3.0,5,1.667
25,Patrick Berg,Norway,UEFA,MF,MF,4.9,7,1.429
26,Sander Berge,Norway,UEFA,MF,MF,5.3,4,0.755
27,Lucas Bergvall,Sweden,UEFA,MF,MF,2.0,2,1.0
28,Alexander Bernhardsson,Sweden,UEFA,MF,MF,2.4,2,0.833
29,Damián Bobadilla,Paraguay,CONMEBOL,MF,MF,2.1,3,1.429
30,Oscar Bobb,Norway,UEFA,FW,FW,2.5,3,1.2
31,Brian Brobbey,Netherlands,UEFA,FW,FW,2.5,1,0.4
32,Nathaniel Brown,Germany,UEFA,DF,DF,3.1,6,1.935
33,Juan Cáceres,Paraguay,CONMEBOL,DF,DF,4.8,11,2.292
34,Sebastián Cáceres,Uruguay,CONMEBOL,DF,DF,3.0,1,0.333
35,Moisés Caicedo,Ecuador,CONMEBOL,MF,MF,4.0,6,1.5
36,Hakan Çalhanoğlu,Türkiye,UEFA,MF,MF,2.0,3,1.5
37,João Cancelo,Portugal,UEFA,DF,DF,3.5,4,1.143
38,Agustín Canobbio,Uruguay,CONMEBOL,FW,FW,2.5,3,1.2
39,Casemiro,Brazil,CONMEBOL,MF,MF,4.2,5,1.19
40,Timothy Castagne,Belgium,UEFA,DF,DF,5.3,7,1.321
41,Vladimír Coufal,Czechia,UEFA,MFDF,MF,3.0,1,0.333
42,Pau Cubarsí,Spain,UEFA,DF,DF,8.3,4,0.482
43,Andrés Cubas,Paraguay,CONMEBOL,MF,MF,5.3,13,2.453
44,Marc Cucurella,Spain,UEFA,DF,DF,8.3,4,0.482
45,Matheus Cunha,Brazil,CONMEBOL,FW,FW,3.2,3,0.938
46,Danilo,Brazil,CONMEBOL,DF,DF,4.5,2,0.444
47,Kevin Danso,Austria,UEFA,DF,DF,2.7,1,0.37
48,Kevin De Bruyne,Belgium,UEFA,MF,MF,4.2,2,0.476
49,Maxim De Cuyper,Belgium,UEFA,DF,DF,4.9,2,0.408
50,Charles De Ketelaere,Belgium,UEFA,FWMF,FW,3.9,4,1.026
51,Rodrigo De Paul,Argentina,CONMEBOL,MF,MF,5.5,4,0.727
52,Amar Dedić,Bosnia–Herz,UEFA,DF,DF,3.0,7,2.333
53,Ousmane Dembélé,France,UEFA,MF,MF,6.6,2,0.303
54,Merih Demiral,Türkiye,UEFA,DF,DF,2.0,1,0.5
55,Ermedin Demirović,Bosnia–Herz,UEFA,FW,FW,3.9,1,0.256
56,Rúben Dias,Portugal,UEFA,DF,DF,4.0,3,0.75
57,Luis Díaz,Colombia,CONMEBOL,FWMF,FW,5.3,0,0.0
58,Lucas Digne,France,UEFA,DF,DF,5.1,3,0.588
59,Jeremy Doku,Belgium,UEFA,MF,MF,3.4,1,0.294
60,Désiré Doué,France,UEFA,MF,MF,4.4,6,1.364
61,Denzel Dumfries,Netherlands,UEFA,DFMF,DF,4.3,6,1.395
62,Edin Džeko,Bosnia–Herz,UEFA,FW,FW,2.0,0,0.0
63,Anthony Elanga,Sweden,UEFA,MFFW,MF,2.4,0,0.0
64,Nico Elvedi,Switzerland,UEFA,DF,DF,6.7,2,0.299
65,Breel Embolo,Switzerland,UEFA,FW,FW,5.6,0,0.0
66,Julio Enciso,Paraguay,CONMEBOL,FW,FW,4.3,5,1.163
67,Eberechi Eze,England,UEFA,MF,MF,2.3,0,0.0
68,João Félix,Portugal,UEFA,MF,MF,2.2,4,1.818
69,Lewis Ferguson,Scotland,UEFA,MF,MF,3.0,7,2.333
