No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
1,1,Rodri,ESP,Spain,UEFA,MF,799,747,93.49
2,2,Pau Cubarsi,ESP,Spain,UEFA,DF,690,668,96.81
3,3,Aymeric Laporte,ESP,Spain,UEFA,DF,660,618,93.64
4,4,Leandro Paredes,ARG,Argentina,CONMEBOL,MF,565,532,94.16
5,5,Marc Guehi,ENG,England,UEFA,DF,532,514,96.62
6,6,Enzo Fernandez,ARG,Argentina,CONMEBOL,MF,519,480,92.49
7,7,Ezri Konsa,ENG,England,UEFA,DF,488,469,96.11
8,8,Manuel Akanji,SUI,Switzerland,UEFA,DF,479,444,92.69
9,9,Marc Cucurella,ESP,Spain,UEFA,DF,474,433,91.35
10,10,Granit Xhaka,SUI,Switzerland,UEFA,MF,470,427,90.85
11,11,Pedri,ESP,Spain,UEFA,MF,469,420,89.55
12,12,Lisandro Martinez,ARG,Argentina,CONMEBOL,DF,450,422,93.78
13,14,Elliot Anderson,ENG,England,UEFA,MF,445,396,88.99
14,15,Dayot Upamecano,FRA,France,UEFA,DF,443,409,92.33
15,16,Nico Elvedi,SUI,Switzerland,UEFA,DF,438,406,92.69
16,18,Gabriel Magalhaes,BRA,Brazil,CONMEBOL,DF,431,413,95.82
17,19,Alexis Mac Allister,ARG,Argentina,CONMEBOL,MF,430,393,91.4
18,19,Cristian Romero,ARG,Argentina,CONMEBOL,DF,430,415,96.51
19,21,Sander Berge,NOR,Norway,UEFA,MF,425,412,96.94
20,22,Pedro Porro,ESP,Spain,UEFA,DF,420,379,90.24
21,23,Michael Olise,FRA,France,UEFA,FW,417,362,86.81
22,24,Vitinha,POR,Portugal,UEFA,MF,403,379,94.04
23,25,Brandon Mechele,BEL,Belgium,UEFA,DF,399,369,92.48
24,28,Marquinhos,BRA,Brazil,CONMEBOL,DF,380,367,96.58
25,29,Jonathan Tah,GER,Germany,UEFA,DF,375,364,97.07
26,30,Joshua Kimmich,GER,Germany,UEFA,DF,368,336,91.3
27,31,Martin Odegaard,NOR,Norway,UEFA,MF,367,322,87.74
28,31,Lionel Messi,ARG,Argentina,CONMEBOL,FW,367,288,78.47
29,33,Davinson Sanchez,COL,Colombia,CONMEBOL,DF,361,324,89.75
30,34,Jan Paul Van Hecke,NED,Netherlands,UEFA,DF,360,335,93.06
31,36,Jules Kounde,FRA,France,UEFA,DF,353,314,88.95
32,37,Adrien Rabiot,FRA,France,UEFA,MF,351,323,92.02
33,38,Virgil Van Dijk,NED,Netherlands,UEFA,DF,347,330,95.1
34,39,Declan Rice,ENG,England,UEFA,MF,340,312,91.76
35,40,Renato Veiga,POR,Portugal,UEFA,DF,336,320,95.24
36,41,Rodrigo De Paul,ARG,Argentina,CONMEBOL,MF,327,300,91.74
37,43,Remo Freuler,SUI,Switzerland,UEFA,MF,324,299,92.28
38,44,William Saliba,FRA,France,UEFA,DF,315,307,97.46
39,46,Unai Simon,ESP,Spain,UEFA,GK,314,253,80.57
40,47,Torbjorn Heggem,NOR,Norway,UEFA,DF,301,282,93.69
41,49,Pedro Vite,ECU,Ecuador,CONMEBOL,MF,297,269,90.57
42,49,Ousmane Dembele,FRA,France,UEFA,FW,297,236,79.46
43,49,Fabian Ruiz,ESP,Spain,UEFA,MF,297,266,89.56
44,52,Ricardo Rodriguez,SUI,Switzerland,UEFA,DF,295,243,82.37
45,52,Moises Caicedo,ECU,Ecuador,CONMEBOL,MF,295,264,89.49
46,54,Danilo,BRA,Brazil,CONMEBOL,DF,294,262,89.12
47,56,Gustavo Puerta,COL,Colombia,CONMEBOL,DF,290,264,91.03
48,58,Jhon Lucumi,COL,Colombia,CONMEBOL,DF,285,262,91.93
49,59,Lucas Digne,FRA,France,UEFA,DF,283,252,89.05
50,62,Nuno Mendes,POR,Portugal,UEFA,DF,282,239,84.75
51,67,Bruno Fernandes,POR,Portugal,UEFA,MF,278,239,85.97
52,68,Nahuel Molina,ARG,Argentina,CONMEBOL,DF,276,234,84.78
53,69,Douglas Santos,BRA,Brazil,CONMEBOL,DF,275,256,93.09
54,71,Jefferson Lerma,COL,Colombia,CONMEBOL,MF,274,242,88.32
55,72,Kristoffer Ajer,NOR,Norway,UEFA,DF,273,256,93.77
56,73,Florian Wirtz,GER,Germany,UEFA,MF,271,223,82.29
57,75,Emiliano Martinez,ARG,Argentina,CONMEBOL,GK,268,195,72.76
58,76,Josip Sutalo,CRO,Croatia,UEFA,DF,267,241,90.26
59,77,Jordan Pickford,ENG,England,UEFA,GK,265,190,71.7
60,77,Lamine Yamal,ESP,Spain,UEFA,FW,265,225,84.91
61,80,Timothy Castagne,BEL,Belgium,UEFA,DF,263,230,87.45
62,80,Manu Kone,FRA,France,UEFA,MF,263,242,92.02
63,82,Joao Neves,POR,Portugal,UEFA,MF,261,247,94.64
64,83,Aleksandar Pavlovic,GER,Germany,UEFA,MF,260,240,92.31
65,85,Youri Tielemans,BEL,Belgium,UEFA,MF,255,221,86.67
66,85,Gregor Kobel,SUI,Switzerland,UEFA,GK,255,190,74.51
67,87,Aurelien Tchouameni,FRA,France,UEFA,MF,254,239,94.09
68,88,Ruben Dias,POR,Portugal,UEFA,DF,249,233,93.57
69,89,Luka Modric,CRO,Croatia,UEFA,MF,248,225,90.73
70,90,Maxim De Cuyper,BEL,Belgium,UEFA,DF,246,203,82.52
71,90,Antonio Ruediger,GER,Germany,UEFA,DF,246,230,93.5
72,94,Frenkie De Jong,NED,Netherlands,UEFA,MF,243,224,92.18
73,95,Abdulkerim Bardakci,TUR,Türkiye,UEFA,DF,242,222,91.74
74,96,Jhon Arias,COL,Colombia,CONMEBOL,MF,240,227,94.58
75,98,Willian Pacho,ECU,Ecuador,CONMEBOL,DF,238,217,91.18
76,100,James Rodriguez,COL,Colombia,CONMEBOL,MF,237,199,83.97
77,104,Kylian Mbappe,FRA,France,UEFA,FW,232,201,86.64
78,105,Jude Bellingham,ENG,England,UEFA,MF,231,191,82.68
79,107,Nicolas Raskin,BEL,Belgium,UEFA,MF,230,197,85.65
80,108,Dani Olmo,ESP,Spain,UEFA,FW,229,207,90.39
81,109,Mathias Olivera,URU,Uruguay,CONMEBOL,DF,226,213,94.25
82,112,Mike Maignan,FRA,France,UEFA,GK,225,179,79.56
83,113,Casemiro,BRA,Brazil,CONMEBOL,MF,224,200,89.29
84,114,David Alaba,AUT,Austria,UEFA,DF,222,198,89.19
85,118,Nathan Ngoy,BEL,Belgium,UEFA,DF,219,205,93.61
86,119,Alex Baena,ESP,Spain,UEFA,MF,218,178,81.65
87,121,Nicolas Tagliafico,ARG,Argentina,CONMEBOL,DF,217,190,87.56
88,122,Nico Oreilly,ENG,England,UEFA,DF,216,200,92.59
89,123,Julian Alvarez,ARG,Argentina,CONMEBOL,FW,215,183,85.12
90,124,Daniel Munoz,COL,Colombia,CONMEBOL,DF,213,194,91.08
91,128,Mateo Kovacic,CRO,Croatia,UEFA,MF,208,198,95.19
92,130,Gustaf Lagerbielke,SWE,Sweden,UEFA,DF,206,173,83.98
93,131,Orjan Nyland,NOR,Norway,UEFA,GK,204,138,67.65
94,132,Camilo Vargas,COL,Colombia,CONMEBOL,GK,202,157,77.72
95,132,Johan Mojica,COL,Colombia,CONMEBOL,DF,202,161,79.7
96,135,Lewis Ferguson,SCO,Scotland,UEFA,MF,201,185,92.04
97,135,Djed Spence,ENG,England,UEFA,DF,201,177,88.06
98,138,Marin Pongracic,CRO,Croatia,UEFA,DF,200,182,91.0
99,138,Bruno Guimaraes,BRA,Brazil,CONMEBOL,MF,200,161,80.5
100,138,Victor Lindelof,SWE,Sweden,UEFA,DF,200,190,95.0
101,143,Leandro Trossard,BEL,Belgium,UEFA,FW,199,171,85.93
102,147,Arda Guler,TUR,Türkiye,UEFA,FW,198,170,85.86
103,147,Thibaut Courtois,BEL,Belgium,UEFA,GK,198,144,72.73
104,149,Desire Doue,FRA,France,UEFA,FW,196,167,85.2
105,154,Lucas Paqueta,BRA,Brazil,CONMEBOL,MF,190,162,85.26
106,154,Hakan Calhanoglu,TUR,Türkiye,UEFA,MF,190,171,90.0
107,157,Piero Hincapie,ECU,Ecuador,CONMEBOL,DF,189,160,84.66
108,157,Leroy Sane,GER,Germany,UEFA,MF,189,161,85.19
109,159,Reece James,ENG,England,UEFA,DF,188,173,92.02
110,161,Nicolas Otamendi,ARG,Argentina,CONMEBOL,DF,187,178,95.19
111,163,David Moller Wolfe,NOR,Norway,UEFA,DF,186,162,87.1
112,164,Kevin De Bruyne,BEL,Belgium,UEFA,MF,185,153,82.7
113,164,Denis Zakaria,SUI,Switzerland,UEFA,MF,185,160,86.49
114,166,Joao Cancelo,POR,Portugal,UEFA,DF,184,160,86.96
115,166,John Stones,ENG,England,UEFA,DF,184,178,96.74
116,173,Jack Hendry,SCO,Scotland,UEFA,DF,180,171,95.0
117,174,Denzel Dumfries,NED,Netherlands,UEFA,DF,179,147,82.12
118,175,Fredrik Aursnes,NOR,Norway,UEFA,MF,178,158,88.76
119,177,Ferdi Kadioglu,TUR,Türkiye,UEFA,DF,175,161,92.0
120,178,Rodrigo Bentancur,URU,Uruguay,CONMEBOL,MF,174,157,90.23
121,178,Patrick Berg,NOR,Norway,UEFA,MF,174,161,92.53
122,180,Sead Kolasinac,BIH,Bosnia and Herzegovina,UEFA,DF,173,141,81.5
