No,Player,Country,Confederation,Pos,Pos_main,90s,TklW,TklW_90
220,Aurélien Tchouaméni,France,UEFA,MF,MF,4.0,14,3.5
118,Marcos Llorente,Spain,UEFA,DF,DF,2.1,6,2.857
11,Elliot Anderson,England,UEFA,MF,MF,7.0,18,2.571
7,Miguel Almirón,Paraguay,CONMEBOL,MFFW,MF,3.1,7,2.258
199,Douglas Santos,Brazil,CONMEBOL,DF,DF,4.9,10,2.041
68,João Félix,Portugal,UEFA,MF,MF,2.2,4,1.818
195,Bukayo Saka,England,UEFA,MF,MF,4.0,7,1.75
20,Abdülkerim Bardakcı,Türkiye,UEFA,DF,DF,2.9,5,1.724
105,Sead Kolašinac,Bosnia–Herz,UEFA,DF,DF,3.7,6,1.622
113,Konrad Laimer,Austria,UEFA,MFDF,MF,4.0,6,1.5
121,Alexis Mac Allister,Argentina,CONMEBOL,MF,MF,8.3,12,1.446
25,Patrick Berg,Norway,UEFA,MF,MF,4.9,7,1.429
214,Ivan Šunjić,Bosnia–Herz,UEFA,MF,MF,2.2,3,1.364
156,Mathías Olivera,Uruguay,CONMEBOL,DF,DF,3.0,4,1.333
243,Lamine Yamal,Spain,UEFA,MFFW,MF,6.8,9,1.324
179,Rayan,Brazil,CONMEBOL,FWMF,FW,3.2,4,1.25
222,Youri Tielemans,Belgium,UEFA,MF,MF,5.3,6,1.132
16,Yasin Ayari,Sweden,UEFA,MF,MF,3.8,4,1.053
235,Micky van de Ven,Netherlands,UEFA,DFMF,DF,2.9,3,1.034
236,Federico Viñas,Uruguay,CONMEBOL,FW,FW,2.1,2,0.952
19,Bradley Barcola,France,UEFA,MF,MF,4.3,4,0.93
157,Dani Olmo,Spain,UEFA,MF,MF,5.5,5,0.909
182,Fabian Rieder,Switzerland,UEFA,MFFW,MF,3.4,3,0.882
245,Kenan Yıldız,Türkiye,UEFA,MF,MF,2.4,2,0.833
26,Sander Berge,Norway,UEFA,MF,MF,5.3,4,0.755
56,Rúben Dias,Portugal,UEFA,DF,DF,4.0,3,0.75
133,Brandon Mechele,Belgium,UEFA,DF,DF,6.3,4,0.635
232,Ruben Vargas,Switzerland,UEFA,MF,MF,3.2,2,0.625
10,Julián Álvarez,Argentina,CONMEBOL,FW,FW,6.7,4,0.597
46,Danilo,Brazil,CONMEBOL,DF,DF,4.5,2,0.444
183,Andy Robertson,Scotland,UEFA,DF,DF,2.5,1,0.4
31,Brian Brobbey,Netherlands,UEFA,FW,FW,2.5,1,0.4
34,Sebastián Cáceres,Uruguay,CONMEBOL,DF,DF,3.0,1,0.333
87,Viktor Gyökeres,Sweden,UEFA,FW,FW,4.0,1,0.25
67,Eberechi Eze,England,UEFA,MF,MF,2.3,0,0.0
223,Ferran Torres,Spain,UEFA,FW,FW,3.2,0,0.0
238,Vitinha,Portugal,UEFA,MF,MF,4.2,0,0.0
174,Jarell Quansah,England,UEFA,DF,DF,2.2,0,0.0
97,Robin Hranáč,Czechia,UEFA,DF,DF,3.0,0,0.0
200,Patrik Schick,Czechia,UEFA,FW,FW,2.0,0,0.0
