Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation
1,Brenden Aaronson,us USA,0.8,0,0,0,2,us,USA,
2,Thelo Aasgaard,no Norway,1.0,0,0,0,0,no,Norway,UEFA
3,Hamza Abdelkarim,eg Egypt,0.7,0,0,0,2,eg,Egypt,
4,Hossam Abdelmaguid,eg Egypt,0.7,0,0,0,1,eg,Egypt,
5,Mohamed Abdelmonem,eg Egypt,0.2,0,0,0,1,eg,Egypt,
6,Ali Abdi,tn Tunisia,3.0,0,0,0,4,tn,Tunisia,
7,Saud Abdulhamid,sa Saudi Arabia,3.0,1,0,0,4,sa,Saudi Arabia,
8,Abdulla Abdullaev,uz Uzbekistan,2.0,0,0,0,5,uz,Uzbekistan,
9,Yusuf Abdurisag,qa Qatar,1.1,0,0,0,1,qa,Qatar,
10,Husam Abu Dahab,jo Jordan,2.0,1,0,0,2,jo,Jordan,
11,Mohammad Abu Hasheesh,jo Jordan,0.1,0,0,0,0,jo,Jordan,
12,Mohannad Abu Taha,jo Jordan,2.9,1,0,0,2,jo,Jordan,
13,Mo Abualnadi,jo Jordan,0.8,0,0,0,0,jo,Jordan,
14,Yazeed Abulaila,jo Jordan,3.0,0,0,0,0,jo,Jordan,
15,Mahmoud Abunada,qa Qatar,3.0,1,0,0,1,qa,Qatar,
16,Elias Achouri,tn Tunisia,0.5,0,0,0,0,tn,Tunisia,
17,Ché Adams,sct Scotland,1.6,0,0,0,4,sct,Scotland,UEFA
18,Jayden Adams,za South Africa,1.3,0,0,0,0,za,South Africa,
19,Tyler Adams,us USA,3.8,1,0,0,5,us,USA,
20,Ricardo Adé,ht Haiti,3.0,0,0,0,6,ht,Haiti,
21,Ibrahim Adel,eg Egypt,0.0,0,0,0,0,eg,Egypt,
22,Simon Adingra,ci Côte d'Ivoire,0.2,0,0,0,0,ci,Côte d'Ivoire,
23,Jonas Adjetey,gh Ghana,2.5,0,0,0,1,gh,Ghana,
24,Michel Aebischer,ch Switzerland,1.7,0,0,0,3,ch,Switzerland,UEFA
25,Akram Afif,qa Qatar,2.6,0,0,0,0,qa,Qatar,
26,Emmanuel Agbadou,ci Côte d'Ivoire,3.0,0,0,0,0,ci,Côte d'Ivoire,
27,Rodrigo Aguirre,uy Uruguay,0.0,0,0,0,0,uy,Uruguay,CONMEBOL
28,Ali Ahmed,ca Canada,2.6,0,0,0,1,ca,Canada,
29,Homam Ahmed,qa Qatar,1.4,0,1,0,4,qa,Qatar,
30,Rayan Aït-Nouri,dz Algeria,3.2,0,0,0,6,dz,Algeria,
31,Kristoffer Ajer,no Norway,5.3,1,0,0,2,no,Norway,UEFA
32,Manuel Akanji,ch Switzerland,6.7,0,0,0,4,ch,Switzerland,UEFA
33,Nathan Aké,nl Netherlands,1.9,0,0,0,2,nl,Netherlands,UEFA
34,Yunus Akgün,tr Türkiye,1.0,1,0,0,2,tr,Türkiye,UEFA
35,Maghnes Akliouche,fr France,0.1,0,0,0,0,fr,France,UEFA
36,Kerem Aktürkoğlu,tr Türkiye,1.4,0,0,0,0,tr,Türkiye,UEFA
37,Ahmed Alaaeldin,qa Qatar,0.5,0,0,0,1,qa,Qatar,
38,David Alaba,at Austria,3.1,0,0,0,2,at,Austria,UEFA
39,Kerim Alajbegović,ba Bosnia–Herz,3.1,0,0,0,4,ba,Bosnia–Herz,UEFA
40,Jordy Alcivar,ec Ecuador,0.5,1,0,0,1,ec,Ecuador,CONMEBOL
41,Omar Alderete,py Paraguay,3.6,0,0,0,2,py,Paraguay,CONMEBOL
42,Almoez Ali,qa Qatar,0.2,0,0,0,0,qa,Qatar,
43,Hussein Ali,iq Iraq,1.8,0,0,0,1,iq,Iraq,
44,Mohanad Ali,iq Iraq,0.1,0,0,0,0,iq,Iraq,
45,Taha Ali,se Sweden,0.4,0,0,0,0,se,Sweden,UEFA
46,Khojiakbar Alijonov,uz Uzbekistan,1.5,0,0,0,2,uz,Uzbekistan,
47,Ali Alipour,ir IR Iran,0.4,0,0,0,1,ir,IR Iran,
48,Alisson,br Brazil,5.0,0,0,0,0,br,Brazil,CONMEBOL
49,Thiago Almada,ar Argentina,2.7,1,0,0,2,ar,Argentina,CONMEBOL
50,Miguel Almirón,py Paraguay,3.1,1,1,0,2,py,Paraguay,CONMEBOL
51,Júnior Alonso,py Paraguay,4.3,1,0,0,3,py,Paraguay,CONMEBOL
52,Barış Alper Yılmaz,tr Türkiye,2.0,0,0,0,4,tr,Türkiye,UEFA
53,Roberto Alvarado,mx Mexico,4.8,0,0,0,3,mx,Mexico,
54,Edson Álvarez,mx Mexico,2.7,1,0,0,5,mx,Mexico,
55,Julián Álvarez,ar Argentina,6.7,0,0,0,11,ar,Argentina,CONMEBOL
56,Ayoube Amaimouni,ma Morocco,0.2,0,0,0,1,ma,Morocco,
57,Zeki Amdouni,ch Switzerland,0.8,0,0,0,5,ch,Switzerland,UEFA
58,Michael Amir Murillo,pa Panama,3.0,0,0,0,1,pa,Panama,
59,Nadiem Amiri,de Germany,0.5,0,0,0,0,de,Germany,UEFA
60,Amir Al Ammari,iq Iraq,2.7,2,0,0,3,iq,Iraq,
61,Azizbek Amonov,uz Uzbekistan,0.2,0,0,0,0,uz,Uzbekistan,
62,Mohamed Amoura,dz Algeria,0.3,0,0,0,1,dz,Algeria,
63,Sofyan Amrabat,ma Morocco,1.6,0,0,0,4,ma,Morocco,
64,Abdulelah Al-Amri,sa Saudi Arabia,2.7,1,0,0,1,sa,Saudi Arabia,
65,Youssef Amyn,iq Iraq,0.3,0,0,0,0,iq,Iraq,
66,Elliot Anderson,eng England,7.0,1,0,0,9,eng,England,UEFA
67,Andrés Andrade Cedeño,pa Panama,3.0,1,0,0,4,pa,Panama,
68,Fredrik André Bjørkan,no Norway,0.5,0,0,0,0,no,Norway,UEFA
69,Nilson Angulo,ec Ecuador,2.4,0,0,0,4,ec,Ecuador,CONMEBOL
70,Waldemar Anton,de Germany,0.6,0,0,0,3,de,Germany,UEFA
71,Jeremy Antonisse,cw Curaçao,0.8,0,0,0,0,cw,Curaçao,
72,Houssem Aouar,dz Algeria,1.9,0,0,0,1,dz,Algeria,
73,Oswin Appollis,za South Africa,2.8,0,0,0,1,za,South Africa,
74,Yazan Al-Arab,jo Jordan,3.0,1,0,0,4,jo,Jordan,
75,Maxi Araújo,uy Uruguay,2.8,0,0,0,2,uy,Uruguay,CONMEBOL
76,Tomás Araújo,pt Portugal,1.0,1,0,0,1,pt,Portugal,UEFA
77,Telmo Arcanjo,cv Cabo Verde,0.6,0,0,0,0,cv,Cabo Verde,
78,Álex Arce,py Paraguay,0.6,1,0,0,1,py,Paraguay,CONMEBOL
79,Carlens Arcus,ht Haiti,1.6,1,0,0,5,ht,Haiti,
80,Max Arfsten,us USA,0.0,0,0,0,0,us,USA,
81,Jhon Arias,co Colombia,4.2,1,0,0,5,co,Colombia,CONMEBOL
82,Santiago Arias,co Colombia,1.0,0,0,0,1,co,Colombia,CONMEBOL
83,Marko Arnautović,at Austria,1.6,1,0,0,3,at,Austria,UEFA
84,Benjamin Asare,gh Ghana,2.5,0,0,0,0,gh,Ghana,
85,Emam Ashour,eg Egypt,4.0,0,0,0,2,eg,Egypt,
86,Rustam Ashurmatov,uz Uzbekistan,2.8,0,0,0,1,uz,Uzbekistan,
87,Lawrence Ati-Zigi,gh Ghana,1.5,0,0,0,0,gh,Ghana,
88,Marwan Attia,eg Egypt,4.8,2,0,0,8,eg,Egypt,
89,Fredrik Aursnes,no Norway,3.4,0,0,0,5,no,Norway,UEFA
90,Gabriel Ávalos,py Paraguay,1.6,0,0,0,1,py,Paraguay,CONMEBOL
91,Yasin Ayari,se Sweden,3.8,1,0,0,4,se,Sweden,UEFA
92,Oğuz Aydın,tr Türkiye,1.0,0,0,0,0,tr,Türkiye,UEFA
93,Jordan Ayew,gh Ghana,3.3,0,0,0,7,gh,Ghana,
94,Kaan Ayhan,tr Türkiye,0.0,0,0,0,0,tr,Türkiye,UEFA
95,Neil El Aynaoui,ma Morocco,6.2,0,0,0,15,ma,Morocco,
96,Ali Azaizeh,jo Jordan,0.6,0,0,0,1,jo,Jordan,
97,Juninho Bacuna,cw Curaçao,2.8,2,0,0,6,cw,Curaçao,
98,Leandro Bacuna,cw Curaçao,3.0,1,0,0,3,cw,Curaçao,
99,Álex Baena,es Spain,5.3,1,0,0,13,es,Spain,UEFA
100,Esmir Bajraktarevic,ba Bosnia–Herz,2.6,0,0,0,1,ba,Bosnia–Herz,UEFA
101,Cédric Bakambu,cd Congo DR,2.1,0,0,0,2,cd,Congo DR,
