Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation,Cards_received,Cards_per_100_fouls
17,Ché Adams,sct Scotland,1.6,0,0,0,4,sct,Scotland,UEFA,0,0.0
24,Michel Aebischer,ch Switzerland,1.7,0,0,0,3,ch,Switzerland,UEFA,0,0.0
31,Kristoffer Ajer,no Norway,5.3,1,0,0,2,no,Norway,UEFA,1,50.0
32,Manuel Akanji,ch Switzerland,6.7,0,0,0,4,ch,Switzerland,UEFA,0,0.0
33,Nathan Aké,nl Netherlands,1.9,0,0,0,2,nl,Netherlands,UEFA,0,0.0
34,Yunus Akgün,tr Türkiye,1.0,1,0,0,2,tr,Türkiye,UEFA,1,50.0
38,David Alaba,at Austria,3.1,0,0,0,2,at,Austria,UEFA,0,0.0
39,Kerim Alajbegović,ba Bosnia–Herz,3.1,0,0,0,4,ba,Bosnia–Herz,UEFA,0,0.0
40,Jordy Alcivar,ec Ecuador,0.5,1,0,0,1,ec,Ecuador,CONMEBOL,1,100.0
41,Omar Alderete,py Paraguay,3.6,0,0,0,2,py,Paraguay,CONMEBOL,0,0.0
49,Thiago Almada,ar Argentina,2.7,1,0,0,2,ar,Argentina,CONMEBOL,1,50.0
50,Miguel Almirón,py Paraguay,3.1,1,1,0,2,py,Paraguay,CONMEBOL,2,100.0
51,Júnior Alonso,py Paraguay,4.3,1,0,0,3,py,Paraguay,CONMEBOL,1,33.33333333333333
52,Barış Alper Yılmaz,tr Türkiye,2.0,0,0,0,4,tr,Türkiye,UEFA,0,0.0
55,Julián Álvarez,ar Argentina,6.7,0,0,0,11,ar,Argentina,CONMEBOL,0,0.0
57,Zeki Amdouni,ch Switzerland,0.8,0,0,0,5,ch,Switzerland,UEFA,0,0.0
66,Elliot Anderson,eng England,7.0,1,0,0,9,eng,England,UEFA,1,11.11111111111111
69,Nilson Angulo,ec Ecuador,2.4,0,0,0,4,ec,Ecuador,CONMEBOL,0,0.0
70,Waldemar Anton,de Germany,0.6,0,0,0,3,de,Germany,UEFA,0,0.0
75,Maxi Araújo,uy Uruguay,2.8,0,0,0,2,uy,Uruguay,CONMEBOL,0,0.0
76,Tomás Araújo,pt Portugal,1.0,1,0,0,1,pt,Portugal,UEFA,1,100.0
78,Álex Arce,py Paraguay,0.6,1,0,0,1,py,Paraguay,CONMEBOL,1,100.0
81,Jhon Arias,co Colombia,4.2,1,0,0,5,co,Colombia,CONMEBOL,1,20.0
82,Santiago Arias,co Colombia,1.0,0,0,0,1,co,Colombia,CONMEBOL,0,0.0
83,Marko Arnautović,at Austria,1.6,1,0,0,3,at,Austria,UEFA,1,33.33333333333333
89,Fredrik Aursnes,no Norway,3.4,0,0,0,5,no,Norway,UEFA,0,0.0
90,Gabriel Ávalos,py Paraguay,1.6,0,0,0,1,py,Paraguay,CONMEBOL,0,0.0
91,Yasin Ayari,se Sweden,3.8,1,0,0,4,se,Sweden,UEFA,1,25.0
99,Álex Baena,es Spain,5.3,1,0,0,13,es,Spain,UEFA,1,7.6923076923076925
100,Esmir Bajraktarevic,ba Bosnia–Herz,2.6,0,0,0,1,ba,Bosnia–Herz,UEFA,0,0.0
107,Bradley Barcola,fr France,4.3,1,0,0,5,fr,France,UEFA,1,20.0
108,Abdülkerim Bardakcı,tr Türkiye,2.9,0,0,0,1,tr,Türkiye,UEFA,0,0.0
109,Ivan Bašić,ba Bosnia–Herz,2.0,0,0,0,2,ba,Bosnia–Herz,UEFA,0,0.0
111,Martin Baturina,hr Croatia,3.6,0,0,0,1,hr,Croatia,UEFA,0,0.0
113,Samed Baždar,ba Bosnia–Herz,0.3,0,0,0,1,ba,Bosnia–Herz,UEFA,0,0.0
117,Maximilian Beier,de Germany,0.3,0,0,0,1,de,Germany,UEFA,0,0.0
123,Jude Bellingham,eng England,6.8,1,0,0,9,eng,England,UEFA,1,11.11111111111111
131,Rodrigo Bentancur,uy Uruguay,3.0,1,0,0,7,uy,Uruguay,CONMEBOL,1,14.285714285714285
132,Patrick Berg,no Norway,4.9,1,0,0,4,no,Norway,UEFA,1,25.0
133,Sander Berge,no Norway,5.3,0,0,0,6,no,Norway,UEFA,0,0.0
134,Lucas Bergvall,se Sweden,2.0,1,0,0,7,se,Sweden,UEFA,1,14.285714285714285
136,Alexander Bernhardsson,se Sweden,2.4,0,0,0,2,se,Sweden,UEFA,0,0.0
139,Damián Bobadilla,py Paraguay,2.1,0,0,0,1,py,Paraguay,CONMEBOL,0,0.0
140,Oscar Bobb,no Norway,2.5,0,0,0,1,no,Norway,UEFA,0,0.0
154,Brian Brobbey,nl Netherlands,2.5,0,0,0,4,nl,Netherlands,UEFA,0,0.0
156,Nathaniel Brown,de Germany,3.1,0,0,0,4,de,Germany,UEFA,0,0.0
158,Ante Budimir,hr Croatia,1.7,0,0,0,6,hr,Croatia,UEFA,0,0.0
161,Dan Burn,eng England,0.4,0,0,0,1,eng,England,UEFA,0,0.0
163,Gustavo Caballero,py Paraguay,1.1,0,0,0,2,py,Paraguay,CONMEBOL,0,0.0
166,Juan Cáceres,py Paraguay,4.8,1,0,0,9,py,Paraguay,CONMEBOL,1,11.11111111111111
