Rk,Player,Squad,90s,CrdY,CrdR,2CrdY,Fls,Code,Team,Confederation,Cards_received,Cards_per_100_fouls
547,Deiver Machado,co Colombia,1.0,0,0,0,1,co,Colombia,CONMEBOL,0,0.0
934,Kristian Thorstvedt,no Norway,0.7,0,0,0,2,no,Norway,UEFA,0,0.0
134,Lucas Bergvall,se Sweden,2.0,1,0,0,7,se,Sweden,UEFA,1,14.285714285714285
372,Viktor Gyökeres,se Sweden,4.0,1,0,0,4,se,Sweden,UEFA,1,25.0
224,Danilo,br Brazil,4.5,2,0,0,7,br,Brazil,CONMEBOL,2,28.57142857142857
40,Jordy Alcivar,ec Ecuador,0.5,1,0,0,1,ec,Ecuador,CONMEBOL,1,100.0
896,Elliot Stroud,se Sweden,1.8,0,0,0,3,se,Sweden,UEFA,0,0.0
600,Brandon Mechele,be Belgium,6.3,1,0,0,9,be,Belgium,UEFA,1,11.11111111111111
605,Memphis,nl Netherlands,0.6,1,0,0,1,nl,Netherlands,UEFA,1,100.0
659,Dan Ndoye,ch Switzerland,4.5,0,0,0,5,ch,Switzerland,UEFA,0,0.0
284,Julio Enciso,py Paraguay,4.3,0,0,0,3,py,Paraguay,CONMEBOL,0,0.0
276,Edin Džeko,ba Bosnia–Herz,2.0,1,0,0,1,ba,Bosnia–Herz,UEFA,1,100.0
927,Aurélien Tchouaméni,fr France,4.0,1,0,0,4,fr,France,UEFA,1,25.0
38,David Alaba,at Austria,3.1,0,0,0,2,at,Austria,UEFA,0,0.0
929,Igor Thiago,br Brazil,0.7,0,0,0,2,br,Brazil,CONMEBOL,0,0.0
55,Julián Álvarez,ar Argentina,6.7,0,0,0,11,ar,Argentina,CONMEBOL,0,0.0
450,Ardon Jashari,ch Switzerland,0.8,0,0,0,2,ch,Switzerland,UEFA,0,0.0
822,William Saliba,fr France,5.3,0,0,0,4,fr,France,UEFA,0,0.0
808,Julian Ryerson,no Norway,2.5,0,0,0,6,no,Norway,UEFA,0,0.0
99,Álex Baena,es Spain,5.3,1,0,0,13,es,Spain,UEFA,1,7.6923076923076925
594,John McGinn,sct Scotland,2.9,0,0,0,2,sct,Scotland,UEFA,0,0.0
34,Yunus Akgün,tr Türkiye,1.0,1,0,0,2,tr,Türkiye,UEFA,1,50.0
196,Tomáš Chorý,cz Czechia,0.3,0,0,0,2,cz,Czechia,UEFA,0,0.0
1018,Kenan Yıldız,tr Türkiye,2.4,0,0,0,2,tr,Türkiye,UEFA,0,0.0
665,João Neves,pt Portugal,4.3,0,0,0,1,pt,Portugal,UEFA,0,0.0
90,Gabriel Ávalos,py Paraguay,1.6,0,0,0,1,py,Paraguay,CONMEBOL,0,0.0
193,Rayan Cherki,fr France,1.4,0,0,0,2,fr,France,UEFA,0,0.0
1007,Axel Witsel,be Belgium,0.4,1,0,0,2,be,Belgium,UEFA,1,50.0
238,Nicolás De La Cruz,uy Uruguay,1.0,1,0,0,2,uy,Uruguay,CONMEBOL,1,50.0
965,Federico Valverde,uy Uruguay,2.6,0,0,0,1,uy,Uruguay,CONMEBOL,0,0.0
842,Nico Schlotterbeck,de Germany,1.5,0,0,0,2,de,Germany,UEFA,0,0.0
519,Aymeric Laporte,es Spain,8.1,1,0,0,5,es,Spain,UEFA,1,20.0
598,Kenny McLean,sct Scotland,1.3,1,0,0,1,sct,Scotland,UEFA,1,100.0
156,Nathaniel Brown,de Germany,3.1,0,0,0,4,de,Germany,UEFA,0,0.0
805,Antonio Rüdiger,de Germany,2.9,0,0,0,1,de,Germany,UEFA,0,0.0
184,Lukáš Červ,cz Czechia,1.8,0,0,0,3,cz,Czechia,UEFA,0,0.0
827,Alex Sandro,br Brazil,0.1,0,0,0,1,br,Brazil,CONMEBOL,0,0.0
806,Fabián Ruiz Peña,es Spain,3.6,0,0,0,1,es,Spain,UEFA,0,0.0
565,Juan Manuel Sanabria,uy Uruguay,2.3,1,0,0,1,uy,Uruguay,CONMEBOL,1,100.0
692,Mathías Olivera,uy Uruguay,3.0,1,0,0,3,uy,Uruguay,CONMEBOL,1,33.33333333333333
742,Pedro Porro,es Spain,6.3,0,0,0,10,es,Spain,UEFA,0,0.0
219,Marc Cucurella,es Spain,8.3,1,0,0,8,es,Spain,UEFA,1,12.5
245,Ermedin Demirović,ba Bosnia–Herz,3.9,1,0,0,11,ba,Bosnia–Herz,UEFA,1,9.090909090909092
413,Aaron Hickey,sct Scotland,0.8,1,0,0,2,sct,Scotland,UEFA,1,50.0
78,Álex Arce,py Paraguay,0.6,1,0,0,1,py,Paraguay,CONMEBOL,1,100.0
917,Nicolás Tagliafico,ar Argentina,5.3,0,0,0,9,ar,Argentina,CONMEBOL,0,0.0
358,Gabriel Gudmundsson,se Sweden,3.7,1,0,0,5,se,Sweden,UEFA,1,20.0
345,Diego Gómez,py Paraguay,3.4,2,0,0,5,py,Paraguay,CONMEBOL,2,40.0
177,Agustín Canobbio,uy Uruguay,2.5,0,1,0,7,uy,Uruguay,CONMEBOL,1,14.285714285714285
117,Maximilian Beier,de Germany,0.3,0,0,0,1,de,Germany,UEFA,0,0.0
